iter	Passed	Remaining
723	1652	629
724	1654	627
725	1656	625
726	1658	622
727	1659	620
728	1661	617
729	1663	615
730	1664	612
731	1666	610
732	1667	607
733	1669	604
734	1671	602
735	1673	600
736	1674	597
737	1676	595
738	1677	592
739	1679	589
740	1680	587
741	1681	584
742	1683	582
743	1685	579
744	1687	577
745	1688	574
746	1690	572
747	1691	569
748	1693	567
749	1694	564
750	1696	562
751	1697	559
752	1699	557
753	1701	554
754	1702	552
755	1703	549
756	1705	547
757	1706	544
758	1708	542
759	1709	539
760	1710	537
761	1712	534
762	1714	532
763	1716	530
764	1717	527
765	1719	525
766	1720	522
767	1721	520
768	1723	517
769	1724	515
770	1726	512
771	1727	510
772	1729	507
773	1731	505
774	1732	502
775	1733	500
776	1735	498
777	1736	495
778	1738	493
779	1739	490
780	1740	488
781	1742	485
782	1744	483
783	1746	481
784	1747	478
785	1748	476
786	1750	473
787	1751	471
788	1753	468
789	1754	466
790	1756	464
791	1757	461
792	1759	459
793	1761	456
794	1762	454
795	1764	452
796	1765	449
797	1767	447
798	1768	444
799	1770	442
800	1771	440
801	1772	437
802	1774	435
803	1776	433
804	1777	430
805	1779	428
806	1780	425
807	1782	423
808	1783	421
809	1784	418
810	1786	416
811	1787	413
812	1789	411
813	1792	409
814	1793	407
815	1795	404
816	1796	402
817	1798	400
818	1799	397
819	1801	395
820	1802	393
821	1804	390
822	1806	388
823	1808	386
824	1809	383
825	1810	381
826	1812	379
827	1813	376
828	1815	374
829	1816	372
830	1818	369
831	1820	367
832	1822	365
833	1823	362
834	1824	360
835	1826	358
836	1827	355
837	1829	353
838	1830	351
839	1832	349
840	1834	346
841	1836	344
842	1838	342
843	1839	340
844	1841	337
845	1842	335
846	1844	333
847	1846	330
848	1847	328
849	1849	326
850	1851	324
851	1853	321
852	1855	319
853	1856	317
854	1858	315
855	1859	312
856	1861	310
857	1863	308
858	1865	306
859	1866	303
860	1868	301
861	1870	299
862	1871	297
863	1873	294
864	1875	292
865	1876	290
866	1878	288
867	1880	286
868	1882	283
869	1884	281
870	1885	279
871	1887	277
872	1888	274
873	1890	272
874	1891	270
875	1893	268
876	1896	265
877	1897	263
878	1899	261
879	1900	259
880	1902	256
881	1904	254
882	1905	252
883	1907	250
884	1909	248
885	1911	245
886	1912	243
887	1914	241
888	1916	239
889	1917	237
890	1919	234
891	1920	232
892	1922	230
893	1924	228
894	1926	226
895	1928	223
896	1930	221
897	1931	219
898	1933	217
899	1934	214
900	1936	212
901	1939	210
902	1941	208
903	1942	206
904	1944	204
905	1945	201
906	1947	199
907	1948	197
908	1950	195
909	1951	193
910	1955	191
911	1957	188
912	1959	186
913	1960	184
914	1962	182
915	1964	180
916	1966	177
917	1971	176
918	1973	173
919	1975	171
920	1977	169
921	1979	167
922	1980	165
923	1982	163
924	1984	160
925	1986	158
926	1988	156
927	1989	154
928	1991	152
929	1992	149
930	1994	147
931	1996	145
932	1997	143
933	1999	141
934	2001	139
935	2002	136
936	2004	134
937	2005	132
938	2007	130
939	2008	128
940	2010	126
941	2011	123
942	2013	121
943	2015	119
944	2017	117
945	2018	115
946	2020	113
947	2021	110
948	2023	108
949	2024	106
950	2026	104
951	2028	102
952	2030	100
953	2031	97
954	2033	95
955	2034	93
956	2036	91
957	2037	89
958	2039	87
959	2040	85
960	2042	82
961	2044	80
962	2046	78
963	2047	76
964	2049	74
965	2051	72
966	2052	70
967	2053	67
968	2055	65
969	2056	63
970	2059	61
971	2061	59
972	2062	57
973	2063	55
974	2065	52
975	2066	50
976	2068	48
977	2070	46
978	2071	44
979	2073	42
980	2075	40
981	2077	38
982	2078	35
983	2080	33
984	2082	31
985	2083	29
986	2085	27
987	2086	25
988	2088	23
989	2090	21
990	2091	18
991	2093	16
992	2095	14
993	2096	12
994	2097	10
995	2099	8
996	2101	6
997	2102	4
998	2104	2
999	2106	0
